name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,search_query,scraped_at,coordinate_source,precision_score
Noren Coffee & Roastery,Kedai Kopi · Jl. Sosrokusuman No.178-109,0.0,0,Rp 1–25.000,-7.7938604,110.3666938,Yogyakarta,,Yogyakarta,Roastery,,,Buka ⋅ Tutup pukul 23.30,cafe buat nugas malioboro,2025-08-28T11:24:05.373254,extract_from_url,0.9
Civet Coffee Malioboro,Kedai Kopi · Jl. Ps. Kembang No.35,0.0,0,Rp 1–25.000,-7.7900113,110.3640733,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 23.30,cafe cozy malioboro,2025-08-28T11:24:47.594932,extract_from_url,0.9
C28 Social Space - Malioboro,Kedai Kopi · Jl. Kemetiran Lor No.6,0.0,0,Rp 25–50 rb,-7.7913378,110.3613557,Yogyakarta,,Yogyakarta,Modern,,,Buka 24 jam,cafe cozy malioboro,2025-08-28T11:24:47.859158,extract_from_url,0.9
Podomoro coffee,Kafe · Jl. Malioboro No.32,0.0,0,,-7.7939933,110.3658194,Yogyakarta,,Yogyakarta,Coffee Shop,,,Tutup ⋅ Buka pukul 20.00,cafe cozy malioboro,2025-08-28T11:24:48.106794,extract_from_url,0.9
ANDORRA,"Kafe ·  · PYRENEES Yogyakarta, Jl. Sosrowijayan No.1 lantai 1",0.0,0,Rp 25–50 rb,-7.791829,110.365605,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 22.00,cafe hits malioboro,2025-08-28T11:25:08.212553,extract_from_url,0.9
Tumbas Mimik Milkshake and Coffee(ꦠꦸꦩ꧀ꦧꦱ꧀ꦩꦶꦩꦶꦏ꧀),,0.0,0,$,-7.7931698,110.3675152,Yogyakarta,,Yogyakarta,Coffee Shop,,,Tutup ⋅ Buka pukul 17.00,cafe instagrammable malioboro,2025-08-28T11:25:32.365375,extract_from_url,0.9
Exit Roofbar,"Kafe · Grage Ramayana Hotel, Jl. Sosrowijayan No.33 Lt. 5",0.0,0,,-7.7923073,110.3639489,Yogyakarta,,Yogyakarta,Modern,,,Tutup ⋅ Buka pukul 17.00,cafe instagrammable malioboro,2025-08-28T11:25:32.532910,extract_from_url,0.9
Rodjo Coffee & Bakery,Kafe · Jl. Malioboro No.87,0.0,0,,-7.7936303,110.3656346,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 23.00,cafe late night malioboro,2025-08-28T11:25:52.481433,extract_from_url,0.9
Lucifer,Kafe ·  · Jl. Sosrowijayan No.71,0.0,0,$$,-7.7916431,110.361824,Yogyakarta,,Yogyakarta,Modern,,,Tutup ⋅ Buka pukul 17.00,cafe live music malioboro,2025-08-28T11:26:15.963211,extract_from_url,0.9
10/10 Pool Bar Rooftop,"Bar ·  · 10th floor of Novotel Suites, Jl. Malioboro No.52 58",0.0,0,,-7.7931709,110.3665629,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 00.00,cafe live music malioboro,2025-08-28T11:26:16.151503,extract_from_url,0.9
KOPI JOSS MBAK SISKA Slasar Malioboro,Jawa · Jl. Malioboro,0.0,0,Rp 1–25.000,-7.789792,110.3649046,Yogyakarta,,Yogyakarta,Modern,,,Tutup ⋅ Buka pukul 16.00,cafe murah malioboro,2025-08-28T11:26:39.173991,extract_from_url,0.9
Sunset Coffee & Eatery,Kedai Kopi · Jl. Nologaten,0.0,0,Rp 25–50 rb,-7.7739888,110.4011155,Sleman,,Sleman,Coffee Shop,,,Buka ⋅ Tutup pukul 00.30,cafe sunset spot malioboro,2025-08-28T11:27:43.521892,extract_from_url,0.9
LOKIO Coffee & Eatery - Mangkubumi,Kedai Kopi · Jl. Margo Utomo No.21,0.0,0,Rp 25–50 rb,-7.7875364,110.3663697,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe sunset spot malioboro,2025-08-28T11:27:43.709123,extract_from_url,0.9
